Comment,Designator,Footprint,LCSC,Quantity
100u,"C7,C9",C_1206_3216Metric,C15008,2
AO3401A,"Q2,Q6,Q8",SOT-23,C15127,3
10k,"R12,R13,R17,R18",R_0805_2012Metric,C17414,4
100k,"R1,R10,R21,R22,R24,R25,R26,R27,R5,R6,R7,R9",R_1206_3216Metric,C17900,12
1k,"R11,R14,R16,R20,R3,R8",R_0603_1608Metric,C21190,6
S8050_SMD,"Q1,Q3,Q4,Q5,Q7,Q9",SOT-23,C2146,6
Yellow,"D1,D2",D_0805_2012Metric,C2296,2
Green,D3,D_0805_2012Metric,C2297,1
100,"R15,R19,R2,R23,R4",R_0402_1005Metric,C25076,5
100n,"C10,C8",C_0402_1005Metric,C307331,2
Target Button,"SW1,SW2",SW_SPST_TL3342,C318884,2
USB for Debugger,"J1,J5",USB_Conn_JLC_LCSC_C404969,C404969,2
LM393,U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,C7955,1
Target,U3,STM32F051C6T6,,1
New Version Debugger,U1,STLINK_UCT,,1
ST-Link,U2,STLINK_UCT,,1
POGO USB2-,J7,P702200045,,1
POGO USB2+,J6,P702200045,,1
POGO USB1-,J4,P702200045,,1
POGO USB1+,J3,P702200045,,1
Raspberry_Pi_2_3,J2,RASPBERRY_PI_3B,,1
